   №,ПРОДУКТ / УСЛУГА ,ОПЕРАЦИЯ,ДБО,ОС,ВЕРСИЯ,ВОПРОС,Видео-инструкция,Инструкция в FAQ,"Инструкция 
на сайте",1,2,3,4,5,6,7,8,9,10,11,12
11,Автоплатежи,Создание автоплатежа,МБ,All,,Как настроить автоплатеж по расписанию из истории операций,,https://www.open.ru/services/payments#2441 https://mobile.open.ru/#2276 https://www.open.ru/deposits/savings_account/faq#1216 ,"https://mobile.open.ru#1140
https://www.open.ru/services/payments#2441","В истории операций в разделе «Платежи и переводы» найдите операцию, для которой хотите создать автоплатеж и нажмите на нее.",Нажмите «Создать автоплатеж».,Введите название автоплатежа и сумму.,Выберите частоту и срок действия автоплатежа и нажмите «Подключить».,Подтвердите создание автоплатежа SMS-кодом.,Автоплатеж создан.,,,,,,
12,Автоплатежи,Удаление автоплатежа,МБ,Android,2.73 и выше,Как удалить автоплатеж,,,,Перейдите на экран «Платежи и переводы».,"В слайдере найдите раздел «Автоплатежи», пролистайте до кнопки «Все автоплатежи» и нажмите на нее.","Найдите автоплатеж, который хотите удалить. Для быстрого удаления проведите по нему справа налево и подтвердите удаление. 
 
Если перед удалением хотите ознакомиться с деталями платежа, нажмите на него.",Нажмите на иконку корзины в верхнем правом углу.,"Подтвердите, что хотите удалить автоплатеж — нажмите «Удалить».",,,,,,,
13,Автоплатежи,Удаление автоплатежа,МБ,Android,до 2.73,Как удалить автоплатеж,,,,Перейдите на экран «Платежи и переводы».,Нажмите «Автоплатежи» вверху экрана.,"Найдите автоплатеж, который хотите удалить, и нажмите на него.",Нажмите на иконку корзины в верхнем правом углу.,"Подтвердите, что хотите удалить автоплатеж — нажмите «Удалить».",,,,,,,
14,Автоплатежи,Изменение автоплатежа,МБ,Android,2.37 и выше,Как изменить автоплатеж,,,,Перейдите на экран «Платежи и переводы»,Нажмите «Автоплатежи»,"Выберите автоплатеж, который хотите изменить и нажмите на него.",Внесите необходимые изменения и нажмите «Сохранить изменения»,,,,,,,,
15,Автоплатежи,Сортировка автоплатежей,МБ,Android,до 2.73,Как отсортировать автоплатежи,,,,Перейдите на экран «Платежи и переводы»,Нажмите «Автоплатежи»,Нажмите на иконку в правом верхнем углу.,Нажмите «Последовательность»,"Поменяйте порядок автоплатежей: нажмите на автоплатеж, который хотите переместить и, удерживая его, переместите в нужное место.","Нажмите на галочку в верхнем правом углу, чтобы сохранить новый порядок автоплатежей в списке.",,,,,,
16,Автоплатежи,Сортировка автоплатежей,МБ,Android,2.73 и выше,Как отсортировать автоплатежи,,,,Перейдите на экран «Платежи и переводы»,В слайдере найдите раздел «Автоплатежи».,Пролистайте список автоплатежей до кнопки «Все автоплатежи» и нажмите на нее.,Откроется список всех автоплатежей. Нажмите на иконку в правом верхнем углу.,Нажмите «Последовательность»,"Поменяйте порядок автоплатежей: нажмите на автоплатеж, который хотите переместить и, удерживая его, переместите в нужное место.","Нажмите на галочку в верхнем правом углу, чтобы сохранить новый порядок автоплатежей в списке.",,,,,
17,Автоплатежи,Просмотр автоплатежей,ИБ,,,Как посмотреть все мои автоплатежи,,,,Перейдите на вкладки «Мои продукты» или «Платежи и переводы»,"Перейдите в раздел «Автоплатежи» и нажмите на стрелку справа, чтобы посмотреть все автоплатежи.",В новом окне отобразятся все созданные автоплатежи: завершенные и активные. Их можно изменить или удалить.,,,,,,,,,
18,Автоплатежи,История автоплатежа,ИБ,,,Как посмотреть историю платежей автоплатежей по расписанию,,,,Перейдите на вкладки «Мои продукты» или «Платежи и переводы»,"Перейдите в раздел «Автоплатежи» и нажмите на стрелку справа, чтобы посмотреть все автоплатежи.","Найдите нужный автоплатеж в списке и нажмите «Показать историю платежей» — снизу отобразятся все совершенные платежи. 
 
 Примечание: Историю платежей можно посмотреть для повторяющихся автоплатежей по расписанию, при выставлении счета и при снижении баланса мобильного телефона.",,,,,,,,,
19,Автоплатежи,Создание автоплатежа по выставленному счету,МБ,Android,2.39 и выше,Как настроить автоплатеж при выставленнии счета для оплаты ЖКУ,,https://www.open.ru/services/payments#2443,https://www.open.ru/services/payments#2443,"Оплатите услуги ЖКУ и после подтверждения платежа нажмите «Создать автоплатеж». Или выберите нужный платеж в истории операций, нажмите на него, а затем — «Создать автоплатеж».",Придумайте и введите название автоплатежа.,В разделе «Повторять» выберите «При выставлении счета».,Введите максимальную сумму платежа.,Нажмите «Подключить».,Введите SMS-код для подтверждения.,"Заявка на создание автоплатежа принята. Вы получите SMS или push-уведомление, как автплатеж будет подключен. 
 
В следующий раз счет по указанным в автоплатеже реквизитам будет оплачен автоматически.",,,,,
20,Автоплатежи,Создание автоплатежа с ежедневным повтором,МБ,Android,2.40 и выше,Как настроить автоплатеж по расписанию с ежедневным повтором,,,,"Совершите платеж или перевод и после подтверждения операции нажмите «Создать автоплатеж». Или выберите нужный платеж или перевод в истории операций, нажмите на него, а затем — «Создать автоплатеж».",Введите название платежа., В разделе «Повторять» выберите «Ежедневно».,"Выберите срок действия автоплатежа: бессрочно, несколько раз или до определенной даты.",Введите сумму платежа.,Нажмите «Подключить».,Подтвердите создание автоплатежа SMS-кодом.,,,,,
21,Автоплатежи,Создание автоплатежа по выставленному счету,МБ,iOS,2.94 и выше,Как настроить автоплатеж при выставлении счета для оплаты ЖКУ,,https://www.open.ru/services/payments#2443,https://www.open.ru/services/payments#2443,"Оплатите услуги ЖКУ и после подтверждения платежа нажмите «Создать автоплатеж». Или выберите нужный платеж в истории операций, нажмите на него, а затем — «Создать автоплатеж».",Придумайте и введите название автоплатежа.,В разделе «Повторять» выберите «При выставлении счета».,Введите максимальную сумму платежа.,Нажмите «Подключить».,Введите SMS-код для подтверждения.,"Заявка на создание автоплатежа принята. Вы получите SMS или push-уведомление, как автплатеж будет подключен. 
 
В следующий раз счет по указанным в автоплатеже реквизитам будет оплачен автоматически.",,,,,
22,Автоплатежи,Создание автоплатежа с ежедневным повтором,МБ,iOS,2.94 и выше,Как настроить автоплатеж по расписанию с ежедневным повтором,,,,Совершите платеж или выберите нужную операцию в истории операций.,Нажмите «Создать автоплатеж».,Введите название платежа.,В разделе «Повторять» выберите «Ежедневно».,"Выберите срок действия автоплатежа: бессрочно, несколько раз или до определенной даты.
",Введите сумму платежа.,Нажмите «Подключить».,Подтвердите создание автоплатежа SMS-кодом.,,,,
23,Онбординг,Операции в прелогин-зоне,МБ,iOS,3.07 и выше,"Что можно сделать, не регистрируясь в приложении",,,,"С экрана «Вход и регистрация» можно перейти к оформлению карты. Нажмите «Я еще не клиент», а затем — «Оформить карту». Откроется страница о карте Opencard на сайте банка.

На экране «Помощь» можно связаться со службой поддержки. Введите текст, чтобы начать чат, или в правом верхнем углу нажмите на иконку трубки, чтобы позвонить.

На экране «На карте» можно найти офисы и банкоматы «Открытия», а также банкоматы партнеров. Если неудобно искать на карте, выберите список.",,,,,,,,,,,
24,Онбординг,Операции в прелогин-зоне,МБ,Android,2.44 и выше,"Что можно сделать, не регистрируясь в приложении",,,,"С экрана «Вход и регистрация» можно перейти к оформлению карты. Нажмите «Я еще не клиент», а затем — «Оформить карту». Откроется страница о карте Opencard на сайте банка.

Связаться со службой поддержки. В правом нижнем углу нажмите на иконку чата, чтобы написать, или на иконку трубки, чтобы позвонить онлайн или по телефону.

Найти офисы и банкоматы «Открытия», а также банкоматы партнеров. В правом верхнем углу нажмите на иконку карты. Если неудобно искать на карте, выберите список.",,,,,,,,,,,
25,Банкоматы и офисы,Поиск офисов,МБ,All,,Как найти ближайший офис банка,,https://mobile.open.ru/#2252,https://www.open.ru/mobile_open_ru,На экране «На карте» нажмите на стрелку в нижнем правом углу для определения геолокации.,"Если геолокация недоступна, включите ее в настройках телефона.",Нажмите на иконку в правом верхнум углу экрана: чтобы выполнить фильтр по категории «Офисы».,На карте будут показаны офисы и ваше местоположение.,"Нажмите список, чтобы увидеть точный адрес офиса банка.",,,,,,,
26,Банкоматы и офисы,Поиск офисов,МБ,Android,2.43 и выше,Как узнать график работы кассы и депозитария,,,https://www.open.ru/mobile_open_ru,Перейдите на экран «На карте».,Найдите нужный офис на карте или выберите его из списка — для этого нажмите на вкладку «Список».,"Нажмите на название офиса, чтобы развернуть карточку с подробной информацией. Часы работы кассы и депозитария можно посмотреть в разделах «Работа кассы» и «График работы депозитария».",,,,,,,,,
27,Банкоматы и офисы,Поиск офисов,ИБ,,,Как найти ближайший офис банка,,,,Данная функция доступна в мобильном приложении.,,,,,,,,,,,
28,Банкоматы и офисы,Поиск банкоматов,МБ,Android,,Как найти ближайший банкомат,,https://mobile.open.ru/#2251,https://www.open.ru/mobile_open_ru,На экране «На карте» нажмите на стрелку в нижнем правом углу для определения геолокации.,"Если геолокация недоступна, включите ее в настройках телефона.","Нажмите на иконку в правом верхнум углу экрана, чтобы выполнить фильтр по категории «Все банкоматы».","Если необходимо внести наличные, выберите «Банкоматы с приемом наличных».",На карте будут показаны ближайшие банкоматы,"Нажмите список, чтобы увидеть точный адрес банкомата",,,,,,
29,Банкоматы и офисы,Поиск банкоматов,ИБ,,,Как найти ближайший банкомат,,,,Данная функция доступна в мобильном приложении.,,,,,,,,,,,
30,Банкоматы и офисы,,МБ,IOS,,Как посмотреть адреса банкоматов и офисов,,,,Перейдите на вкладку «На карте».,Найдите нужный офис или банкомат на карте или выберите из списка — для этого нажмите на вкладку «Список».,"Карту и список можно фильтровать по категориям: «Все банкоматы», «Банкоматы партнеров» или «Офисы». Дополнительно можно добавить фильтр «Прием наличных», «Круглосточный доступ» и выбрать валюту выдачи. Для этого нажмите на иконку «Фильтр» в правом верхнем углу экрана.",,,,,,,,,
31,Банкоматы и офисы,Неавторизованная зона мобильного приложения,МБ,All,,"Как посмотреть адреса банкоматов и офисов, если я не могу войти в мобильное приложение",,,,В неавторизованной зоне мобильного приложения можно посмотреть адреса банкоматов и офисов. Перейдите на вкладку «На карте» внизу экрана.,Найти нужный офис или банкомат можно на интерактивной карте или во вкладке «Список».,"Чтобы отфильтровать по категориям нажмите на движок в правом верхнем углу экрана. Вы можете выбрать «Все банкоматы», «Банкоматы с приемом наличных» или только «Офисы».",,,,,,,,,
32,Банкоматы и офисы,Просмотр адресов банкоматов и офисов,ИБ,,,Как посмотреть адреса банкоматов и офисов,,,,В интернет-банке нельзя посмотреть эту информацию. Адреса ближайших банкоматов и офисов можно посмотреть в мобильном приложении или на сайте: open.ru/addresses/map,,,,,,,,,,,
33,Банкоматы и офисы,Банкоматы партнеров,МБ,iOS,,Как найти банкоматы партнеров,,,,Перейдите на вкладку «На карте»,Банкоматы партнеров отмечены темно-синей иконкой. Найдите нужный на карте или банкомат на карте или выберите списка — для этого нажмите на вкладку «Список».,"Чтобы искать было удобнее, можно воспользоваться фильтрами. Для этого нажмите на движок в правом верхнем углу экрана.",Выберите «Банкоматы партнеров» и дополнительные условия при необходимости: «Прием наличных» или «Круглосуточный доступ». Нажмите «Применить»,"На карте или в списке отобразятся только те банкоматы, которые подходят под выбранные фильтры",,,,,,,
34,Банкоматы и офисы,Банкоматы партнеров,МБ,iOS,,"Как найти банкоматы партнеров, которые принимают наличные",,,,Перейдите на вкладку «На карте»,На карте банкоматы партнеров отмечены темно-синей иконкой. Нажмите на движок в правом верхнем углу экрана.,"Выберите «Банкоматы партнеров», в разделе «Допонительно» — «Прием наличных». Нажмите «Применить»","На карте или в списке отобразятся только те банкоматы, в которые можно вносить наличные",,,,,,,,
35,Банкоматы и офисы,Банкоматы партнеров,МБ,iOS,,Как посмотреть адреса банкоматов партнеров,,,,Перейдите на вкладку «На карте»,Банкоматы партреров отмечены темно-синей иконкой. Нажмите на нужный на карте или выберите из списка.,"Чтобы посмотреть подробную информацию о банкомате, смахните открывшееся окно вверх. В окне отобразится валюта снятия, режим работы и адрес банкомата партнера",,,,,,,,,
36,Банкоматы и офисы,Банкоматы партнеров,МБ,iOS,,Как посмотреть режим работы банкоматов партнеров,,,,Перейдите на вкладку «На карте»,Банкоматы партреров отмечены темно-синей иконкой. Нажмите на нужный на карте или выберите из списка,"Чтобы посмотреть подробную информацию о банкомате, смахните открывшееся окно вверх. В окне отобразится валюта снятия, режим работы и адрес банкомата партнера",,,,,,,,,
37,Банкоматы и офисы,Банкоматы партнеров,МБ,Android,2.36 и выше,Как найти банкоматы партнеров,,,,Перейдите на вкладку «На карте»,Банкоматы партнеров отмечены темно-синей иконкой. Найдите нужный на карте или банкомат на карте или выберите списка — для этого нажмите на вкладку «Список»,"Чтобы искать было удобнее, можно воспользоваться фильтрами. Для этого нажмите на движок в правом верхнем углу экрана",Выберите «Банкоматы партнеров» и дополнительные условия при необходимости: «Прием наличных» или «Круглосуточный доступ». Нажмите «Применить»,"На карте или в списке отобразятся только те банкоматы, которые подходят под выбранные фильтры",,,,,,,
38,Банкоматы и офисы,Банкоматы партнеров,МБ,Android,2.36 и выше,"Как найти банкоматы партнеров, которые принимают наличные",,,,Перейдите на вкладку «На карте»,На карте банкоматы партнеров отмечены темно-синей иконкой. Нажмите на движок в правом верхнем углу экрана,"Выберите «Банкоматы партнеров», в разделе «Допонительно» — «Прием наличных». Нажмите «Применить»","На карте или в списке отобразятся только те банкоматы, в которые можно вносить наличные",,,,,,,,
39,Банкоматы и офисы,Банкоматы партнеров,МБ,Android,2.36 и выше,Как посмотреть адреса банкоматов партнеров,,,,Перейдите на вкладку «На карте»,Банкоматы партреров отмечены темно-синей иконкой. Нажмите на нужный на карте или выберите из списка,"Чтобы посмотреть подробную информацию о банкомате, смахните открывшееся окно вверх. В окне отобразится валюта снятия, режим работы и адрес банкомата партнера",,,,,,,,,
40,Банкоматы и офисы,Банкоматы партнеров,МБ,Android,2.36 и выше,Как посмотреть режим работы банкоматов партнеров,,,,Перейдите на вкладку «На карте»,Банкоматы партреров отмечены темно-синей иконкой. Нажмите на нужный на карте или выберите из списка,"Чтобы посмотреть подробную информацию о банкомате, смахните открывшееся окно вверх. В окне отобразится валюта снятия, режим работы и адрес банкомата партнера",,,,,,,,,
41,Банкоматы и офисы,На карте,МБ,iOS,2.86 и выше,Как посмотреть расположение офиса на карте,,https://mobile.open.ru/#2252,,Перейдите в раздел «На карте»,Перейдите на вкладку «Список»,Найдите подходящий офис и нажмите на него,Нажмите на расстояние до офиса в нижнем левом — офис отобразится на карте,,,,,,,,
42,Банкоматы и офисы,На карте,МБ,iOS,2.86 и выше,Как посмотреть расположение банкомата на карте,,https://mobile.open.ru/#2251,,Перейдите в раздел «На карте»,Перейдите на вкладку «Список»,Найдите подходящий банкомат и нажмите на него,Нажмите на расстояние до банкомата в нижнем левом — банкомат отобразится на карте,,,,,,,,
43,Банкоматы и офисы,Запись в офис,МБ,iOS,3.07 и выше,Как записаться в офис без авторизации в приложении,,https://www.open.ru/mobile_open_ru#2422,,Перейдите на экран «На карте».,Выберите нужный офис на карте или из списка.,Нажмите «Записаться в офис».,"Выберите цель визита, дату и время.",Введите имя и номер телефона. Нажмите «Записаться».,Введите код из SMS для подтверждения.,"Проверьте детали записи, ознакомьтесь с рекомендациями и нажмите «Понятно».","После успешной записи внизу экрана появится карточка с напоминанием. Нажмите на нее, чтобы посмотреть детали, изменить дату и время или отменить запись.",,,,
44,Банкоматы и офисы,Запись в офис,МБ,iOS,до 3.05,Как записаться в офис,,https://mobile.open.ru/#2422,,Перейдите на экран «На карте».,Выберите нужный офис на карте или из списка.,Нажмите «Записаться в офис».,"Выберите цель визита, дату и время и нажмите «Записаться».","Проверьте детали записи и нажмите «Понятно».

Примечание: Вы получите SMS с подтверждением записи и еще одно с напоминанием за 2 часа до визита в офис.","Добавьте событие в календарь телефона, чтобы не забыть о записи",,,,,,
45,Банкоматы и офисы,Запись в офис,МБ,iOS,3.05 и выше,Как записаться в офис,,https://mobile.open.ru/#2422,,Перейдите на экран «На карте».,Выберите нужный офис на карте или из списка.,Нажмите «Записаться в офис».,"Выберите цель визита, дату и время и нажмите «Записаться».","Проверьте детали записи и нажмите «Понятно».

Примечание: Вы получите SMS с подтверждением записи и напоминание за 2 часа до визита в офис. Нажмите на push, чтобы посмотреть офис на карте и время визита.","Добавьте событие в календарь телефона, чтобы не забыть о записи",,,,,,
46,Банкоматы и офисы,Запись в офис,МБ,Android,2.43 и выше,Как записаться в офис,,https://mobile.open.ru/#2422,,Перейдите на экран «На карте».,Выберите нужный офис на карте или из списка.,Нажмите «Записаться в офис».,"Выберите цель визита, дату и время и нажмите «Записаться».","Проверьте детали записи и нажмите «Понятно».

Примечание: Вы получите SMS с подтверждением записи и еще одно с напоминанием за 2 часа до визита в офис.","Добавьте событие в календарь телефона, чтобы не забыть о записи",,,,,,
47,Банкоматы и офисы,Запись в офис,МБ,iOS,2.94 и выше,Как перенести запись в офис,,https://mobile.open.ru/#2422,,Перейдите на экран «На карте»,"Нажмите на блок с информацией о записи под картой. Если записей несколько, выберите нужную",Нажмите «Записаться на другое время»,"Выберите новую дату, время и нажмите «Понятно»","Добавьте событие в календарь телефона, чтобы не забыть о записи",,,,,,,
48,Банкоматы и офисы,Запись в офис,МБ,Android,2.43 и выше,Как перенести запись в офис,,https://mobile.open.ru/#2422,,Перейдите на экран «На карте»,"Нажмите на блок с информацией о записи под картой. Если записей несколько, выберите нужную",Нажмите «Записаться на другое время»,"Выберите новую дату, время и нажмите «Понятно»","Добавьте событие в календарь телефона, чтобы не забыть о записи",,,,,,,
49,Банкоматы и офисы,Запись в офис,МБ,iOS,2.94 и выше,Как удалить запись в офис,,https://mobile.open.ru/#2422,,Перейдите на экран «На карте»,"Нажмите на блок с информацией о записи под картой. Если записей несколько, выберите нужную",Нажмите «Отменить запись»,Еще раз нажмите «Отменить запись»,,,,,,,,
50,Банкоматы и офисы,Запись в офис,МБ,Android,2.43 и выше,Как удалить запись в офис,,https://mobile.open.ru/#2422,,Перейдите на экран «На карте»,"Нажмите на блок с информацией о записи под картой. Если записей несколько, выберите нужную",Нажмите «Отменить запись»,Еще раз нажмите «Отменить запись»,,,,,,,,
51,Виджет,,МБ,iOS,2.90 и выше,Как добавить виджет «Открытия» на iOS 14,,https://www.open.ru/faq#2062 https://www.open.ru/mobile_open_ru#2423,https://www.open.ru/faq,Обновите операционную систему до iOS 14.,"На экране «Домой» нажмите и удерживайте пустую область экрана, чтобы перейти в режим редактирования — приложения начнут покачиваться. Или нажмите и удерживайте любое приложение или виджет, а затем выберите «Изменить экран «Домой».",Нажмите кнопку «+» в верхнем левом углу.,Выберите виджет «Открытие».,Нажмите «Добавить виджет».,"Виджет «Открытие» появится на экране. Чтобы увидеть в нем данные по своим продуктам, нажмите на него — откроется приложение «Открытия». Войдите в него — введите код-пароль. 
 
 После входа в приложение в виджете отобразится информация о карте, по которой была совершена последняя операция.
 
 Примечание: Настроить виджет можно по одному из продуктов: дебетовым и кредитным картам, счета и кредитам — ипотечным и потребительским. Информация в виджете автоматически обновляется каждые 15 минут и при получении push-уведомлений.",,,,,,
